bzip2_test-fasta_analysis,1,1023030000,254618101,2.251,1.991,11.600,80.10,2484,30.43,1748,0,0
bzip2_test-fasta_analysis,4,1023030000,127953015,2.028,1.000,50.700,93.52,4860,27.73,3072,0,0
bzip2_test-fasta_analysis,7,1023030000,91394339,1.775,.714,59.800,120.86,7232,27.91,4128,0,0
bzip2_test-fasta_analysis,9,1023030000,80306967,1.633,.627,61.600,126.85,8820,28.38,4916,0,0
