"naf DATA",
"PROGRAM","LEVEL","BYTES","C_BYTES","BPS_original","BPS_final","GAIN","C_TIME(s)","C_RAM(GB)","D_TIME(s)","D_MEM(GB)","DIFF","RUN"
NAF_CVDB,1,46107409016,707152256,.122,.122,0,385.38,16808,383.45,1087620,0,0
NAF_CVDB-fasta_analysis,1,46107409016,637249298,.122,.110,9.900,543.40,15272,538.14,1087356,0,0
NAF_CVDB,8,46107409016,605815282,.105,.105,0,426.08,39340,339.29,1088932,0,0
NAF_CVDB-fasta_analysis,8,46107409016,465675223,.105,.080,23.200,436.03,38076,541.43,1088664,0,0
NAF_CVDB,15,46107409016,588394767,.102,.102,0,1689.40,361792,364.56,1091064,0,0
NAF_CVDB-fasta_analysis,15,46107409016,407124178,.102,.070,30.900,1775.11,360656,353.95,1090772,0,0
NAF_CVDB,22,46107409016,432699046,.075,.075,0,5117.72,3751504,284.68,1218572,0,0
NAF_CVDB-fasta_analysis,22,46107409016,301244640,.075,.052,30.400,4949.00,3749940,425.40,1217764,0,0
